johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
lakeland.co.uk*	WorldWide	08.14.2016	08.20.2016	0.24315068493150685	0.003424657534246575	0.0547945205479452	0.3926940639269406	0.13470319634703196	0.1461187214611872	0.02511415525114155	195792.81214969145
laptopsdirect.co.uk*	WorldWide	08.14.2016	08.20.2016	0.19486692015209126	0.03897338403041825	0.0	0.526615969581749	0.16159695817490494	0.0741444866920152	0.0038022813688212928	198998.86969535312
lauraashley.com*	WorldWide	08.14.2016	08.20.2016	0.23044397463002114	0.0021141649048625794	0.03805496828752643	0.46723044397463004	0.11416490486257928	0.11205073995771671	0.035940803382663845	86728.79940912954
lecreuset.co.uk*	WorldWide	08.14.2016	08.20.2016	0.23684210526315788	0.0	0.0	0.5526315789473685	0.13157894736842105	0.07894736842105263	0.0	7093.095916883021
ledhut.co.uk*	WorldWide	08.14.2016	08.20.2016	0.23404255319148937	0.0	0.0425531914893617	0.28368794326241137	0.24113475177304963	0.19148936170212766	0.0070921985815602835	29220.70883836435
lg.com*	WorldWide	08.14.2016	08.20.2016	0.1859140481589461	0.020570132815030773	0.006802721088435374	0.6048212935968038	0.06324910916747652	0.10347154734909837	0.01517114782420905	3982134.8194731497
lighting-direct.co.uk*	WorldWide	08.14.2016	08.20.2016	0.12280701754385964	0.017543859649122806	0.0	0.3508771929824561	0.3684210526315789	0.10526315789473684	0.03508771929824561	11838.144122857135
littlewoods.com*	WorldWide	08.14.2016	08.20.2016	0.44650900900900903	0.003941441441441441	0.03547297297297297	0.30686936936936937	0.04504504504504504	0.14414414414414414	0.018018018018018018	350862.7724803397
lkbennett.com*	WorldWide	08.14.2016	08.20.2016	0.28776978417266186	0.014388489208633094	0.04316546762589928	0.38848920863309355	0.1079136690647482	0.1366906474820144	0.02158273381294964	22537.412108878823
loaf.com*	WorldWide	08.14.2016	08.20.2016	0.2540983606557377	0.0	0.04918032786885246	0.22131147540983606	0.1885245901639344	0.22131147540983606	0.06557377049180328	20166.224709426187
lookfantastic.com*	WorldWide	08.14.2016	08.20.2016	0.22687787429739398	0.026060296371997957	0.0858456821665815	0.2733776188042923	0.12979049565661727	0.21257026060296372	0.045477772100153295	267234.07129497867
made.com*	WorldWide	08.14.2016	08.20.2016	0.4035608308605341	0.018793273986152326	0.03115727002967359	0.11374876360039565	0.1444114737883284	0.1815034619188922	0.10682492581602374	210949.51035102856
mandmdirect.com*	WorldWide	08.14.2016	08.20.2016	0.28129117259552044	0.01383399209486166	0.05928853754940711	0.26745718050065875	0.12779973649538867	0.21870882740447958	0.03162055335968379	233976.74842650976
mankind.co.uk*	WorldWide	08.14.2016	08.20.2016	0.38498789346246975	0.004842615012106538	0.05084745762711865	0.18886198547215496	0.07506053268765134	0.2687651331719128	0.026634382566585957	53552.62576483325
maplin.co.uk*	WorldWide	08.14.2016	08.20.2016	0.23783257624918883	0.010382868267358857	0.008760545100584036	0.48410123296560675	0.14243997404282932	0.10966904607397794	0.00681375730045425	605505.798134623
marksandspencer.com*	WorldWide	08.14.2016	08.20.2016	0.3306473766138632	0.0076000366266825384	0.1236150535665232	0.33550041205017855	0.05127735555352074	0.13597655892317553	0.015383206666056222	2224650.72967072
matalan.co.uk*	WorldWide	08.14.2016	08.20.2016	0.21156138259833135	5.959475566150178E-4	0.09475566150178784	0.4028605482717521	0.03814064362336114	0.1865315852205006	0.06555423122765197	279235.14862942905
missselfridge.com*	WorldWide	08.14.2016	08.20.2016	0.22482435597189696	0.0117096018735363	0.07728337236533958	0.4309133489461358	0.00702576112412178	0.20140515222482436	0.0468384074941452	67722.34789756447
moss.co.uk*	WorldWide	08.14.2016	08.20.2016	0.21105527638190955	0.007537688442211055	0.03768844221105527	0.4296482412060301	0.13819095477386933	0.14824120603015076	0.02763819095477387	61226.85147395144
mothercare.com*	WorldWide	08.14.2016	08.20.2016	0.2036637931034483	0.008620689655172414	0.029094827586206896	0.5549568965517241	0.05495689655172414	0.125	0.023706896551724137	177992.40807575991
mrporter.com*	WorldWide	08.14.2016	08.20.2016	0.39720998531571217	0.028389623103279492	0.035976505139500736	0.18820362212432698	0.06779246206558982	0.2143906020558003	0.0680372001957905	441082.4538089934
