johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social	johnlewisweeklydistro.visits
aldoshoes.com*	WorldWide	08.06.2017	08.12.2017	0.3325945778785693	0.017858983609937124	0.03734151118441399	0.412199773219256	0.10147149778373366	0.06678435212864654	0.03174930419544378	317428.7371390661
hugoboss.com*	WorldWide	08.06.2017	08.12.2017	0.18995205618205155	0.013589708960767105	0.035451414680262014	0.4538287527854686	0.12029846714835576	0.13429333513404015	0.05258626510905532	244579.85178967632
dorothyperkins.com*	WorldWide	08.06.2017	08.12.2017	0.30486602742181207	0.02153717477671237	0.067748006093736	0.37094124324162864	0.029273829793589626	0.15900468978701793	0.04662902888550348	165396.97872391724
ledhut.co.uk*	WorldWide	08.06.2017	08.12.2017	0.20145379023883697	0.02596053997923157	0.04672897196261682	0.2762201453790239	0.18483904465212878	0.264797507788162	0.0	37148.26237530839
lkbennett.com*	WorldWide	08.06.2017	08.12.2017	0.2439281942977825	0.026399155227032737	0.031678986272439286	0.27243928194297784	0.052798310454065474	0.35691657866948256	0.015839493136219643	32265.961485775955
mrporter.com*	WorldWide	08.06.2017	08.12.2017	0.3904610531712486	0.033633626022749594	0.04362897122105969	0.16927797209920692	0.09336884069132317	0.17236722604840984	0.0972623107460023	529477.7252241957
siemens.co.uk*	WorldWide	08.06.2017	08.12.2017	0.2960725075528701	0.0	0.0	0.6435045317220544	0.0	0.045317220543806644	0.015105740181268881	9788.587909742751
spacenk.com*	WorldWide	08.06.2017	08.12.2017	0.27681026581118245	0.11228230980751605	0.013748854262144823	0.2658111824014666	0.06874427131072411	0.15032080659945005	0.11228230980751605	71003.00293518268
wayfair.com*	WorldWide	08.06.2017	08.12.2017	0.254531596159498	0.038629372821655794	0.06342944870488	0.32490424658764483	0.1314804051378651	0.13028697754345642	0.05673795304500014	4887159.186474306
dyson.co.uk*	WorldWide	08.06.2017	08.12.2017	0.29858490566037726	0.004716981132075471	0.007075471698113206	0.41415094339622627	0.09433962264150941	0.18113207547169805	0.0	78717.42941347284
houseology.com*	WorldWide	08.06.2017	08.12.2017	0.20588235294117646	0.0	0.0	0.48366013071895425	0.11437908496732026	0.13071895424836602	0.06535947712418301	7856.090292902232
mothercare.com*	WorldWide	08.06.2017	08.12.2017	0.2170232414960751	0.008080652608896413	0.03809450515622595	0.5300908111436048	0.07110974295828844	0.11459134985377865	0.021009696783130676	149716.25811592405
qvcuk.com*	WorldWide	08.06.2017	08.12.2017	0.3647188241390274	8.540474683166306E-4	0.11119698037482532	0.33224479963870074	0.02527980506217227	0.12795664521736264	0.03774889809959508	245576.8044606698
hm.com*	WorldWide	08.06.2017	08.12.2017	0.2788097125060231	0.0022386525004922607	0.04394179620044348	0.40211519603286955	0.04952865565924385	0.15976949920893196	0.06359648789199619	7239314.184974102
mankind.co.uk*	WorldWide	08.06.2017	08.12.2017	0.20776123092133716	0.09654575789408638	0.13703268862386456	0.2226781190137799	0.07682135574368164	0.19012544027683373	0.06903540752641661	43232.19845537751
appliancesdirect.co.uk*	WorldWide	08.06.2017	08.12.2017	0.10737155621742366	0.030578307272275996	0.04169769173492181	0.5133780094316207	0.17652022834450232	0.11203772648299823	0.018416480516257133	112484.03142315864
boohoo.com*	WorldWide	08.06.2017	08.12.2017	0.3526158036089943	0.013053794481839378	0.03702098394545945	0.3772487578682073	0.015881235796731712	0.16468961976593904	0.03948980453282873	1104922.0865614694
