countryname	country	mobile	domain	ga:month	ga:year	ga:devicecategory	ga:sessions	>100k
France	250	1	carita.fr	3	2017	mobile	5288	0
France	250	1	carita.fr	4	2017	mobile	4953	0
France	250	1	carita.fr	5	2015	mobile	5797	0
France	250	1	carita.fr	5	2017	mobile	5944	0
France	250	1	carita.fr	6	2015	mobile	4582	0
France	250	1	carita.fr	7	2015	mobile	4660	0
France	250	1	carita.fr	7	2016	mobile	2	0
France	250	1	carita.fr	8	2015	mobile	4618	0
France	250	1	carita.fr	9	2015	mobile	5072	0
France	250	1	carita.fr	10	2015	mobile	5609	0
France	250	1	carita.fr	10	2016	mobile	1	0
France	250	1	carita.fr	11	2015	mobile	4771	0
France	250	1	carita.fr	11	2016	mobile	29	0
France	250	1	carita.fr	12	2015	mobile	6028	0
France	250	1	carita.fr	12	2016	mobile	30	0
France	250	1	clarisonic.fr	1	2016	mobile	9858	0
France	250	1	clarisonic.fr	1	2017	mobile	4390	0
France	250	1	clarisonic.fr	2	2016	mobile	6319	0
France	250	1	clarisonic.fr	2	2017	mobile	3251	0
France	250	1	clarisonic.fr	3	2016	mobile	5760	0
France	250	1	clarisonic.fr	3	2017	mobile	4291	0
France	250	1	clarisonic.fr	4	2016	mobile	6487	0
France	250	1	clarisonic.fr	4	2017	mobile	28864	0
France	250	1	clarisonic.fr	5	2015	mobile	8977	0
France	250	1	clarisonic.fr	5	2016	mobile	22072	0
France	250	1	clarisonic.fr	5	2017	mobile	6984	0
France	250	1	clarisonic.fr	6	2015	mobile	7377	0
France	250	1	clarisonic.fr	6	2016	mobile	25218	0
France	250	1	clarisonic.fr	7	2015	mobile	7400	0
France	250	1	clarisonic.fr	7	2016	mobile	7406	0
France	250	1	clarisonic.fr	8	2015	mobile	6100	0
France	250	1	clarisonic.fr	8	2016	mobile	5289	0
France	250	1	clarisonic.fr	9	2015	mobile	4745	0
France	250	1	clarisonic.fr	9	2016	mobile	4250	0
France	250	1	clarisonic.fr	10	2015	mobile	5755	0
France	250	1	clarisonic.fr	10	2016	mobile	10860	0
France	250	1	clarisonic.fr	11	2015	mobile	6416	0
France	250	1	clarisonic.fr	11	2016	mobile	4706	0
France	250	1	clarisonic.fr	12	2015	mobile	12292	0
France	250	1	clarisonic.fr	12	2016	mobile	21034	0
France	250	1	decleor.fr	1	2016	mobile	10973	0
France	250	1	decleor.fr	1	2017	mobile	17944	0
France	250	1	decleor.fr	2	2016	mobile	10813	0
France	250	1	decleor.fr	2	2017	mobile	11104	0
France	250	1	decleor.fr	3	2016	mobile	12860	0
France	250	1	decleor.fr	3	2017	mobile	13405	0
France	250	1	decleor.fr	4	2016	mobile	9351	0
France	250	1	decleor.fr	4	2017	mobile	15789	0
France	250	1	decleor.fr	5	2015	mobile	2703	0
France	250	1	decleor.fr	5	2016	mobile	6505	0
France	250	1	decleor.fr	5	2017	mobile	13787	0
France	250	1	decleor.fr	6	2015	mobile	5669	0
France	250	1	decleor.fr	6	2016	mobile	5819	0
France	250	1	decleor.fr	7	2015	mobile	5020	0
France	250	1	decleor.fr	7	2016	mobile	5152	0
France	250	1	decleor.fr	8	2015	mobile	4830	0
France	250	1	decleor.fr	8	2016	mobile	5170	0
France	250	1	decleor.fr	9	2015	mobile	5183	0
France	250	1	decleor.fr	9	2016	mobile	5968	0
France	250	1	decleor.fr	10	2015	mobile	9423	0
France	250	1	decleor.fr	10	2016	mobile	12038	0
France	250	1	decleor.fr	11	2015	mobile	9938	0
France	250	1	decleor.fr	11	2016	mobile	18981	0
France	250	1	decleor.fr	12	2015	mobile	11027	0
France	250	1	decleor.fr	12	2016	mobile	17443	0
France	250	1	essie.fr	1	2016	mobile	14420	0
France	250	1	essie.fr	1	2017	mobile	11826	0
France	250	1	essie.fr	2	2016	mobile	11402	0
France	250	1	essie.fr	2	2017	mobile	10731	0
France	250	1	essie.fr	3	2016	mobile	11735	0
France	250	1	essie.fr	3	2017	mobile	10701	0
France	250	1	essie.fr	4	2016	mobile	11603	0
France	250	1	essie.fr	4	2017	mobile	11932	0
France	250	1	essie.fr	5	2015	mobile	16782	0
France	250	1	essie.fr	5	2016	mobile	13079	0
France	250	1	essie.fr	5	2017	mobile	12073	0
France	250	1	essie.fr	6	2015	mobile	16890	0
France	250	1	essie.fr	6	2016	mobile	13136	0
France	250	1	essie.fr	7	2015	mobile	15838	0
France	250	1	essie.fr	7	2016	mobile	24363	0
France	250	1	essie.fr	8	2015	mobile	15569	0
France	250	1	essie.fr	8	2016	mobile	15170	0
France	250	1	essie.fr	9	2015	mobile	13766	0
France	250	1	essie.fr	9	2016	mobile	13455	0
France	250	1	essie.fr	10	2015	mobile	17654	0
France	250	1	essie.fr	10	2016	mobile	15753	0
France	250	1	essie.fr	11	2015	mobile	16377	0
France	250	1	essie.fr	11	2016	mobile	13706	0
France	250	1	essie.fr	12	2015	mobile	18619	0
France	250	1	essie.fr	12	2016	mobile	14554	0
France	250	1	garnier.fr	1	2016	mobile	195561	1
France	250	1	garnier.fr	1	2017	mobile	128596	1
France	250	1	garnier.fr	2	2016	mobile	177310	1
France	250	1	garnier.fr	2	2017	mobile	128786	1
France	250	1	garnier.fr	3	2016	mobile	168792	1
France	250	1	garnier.fr	3	2017	mobile	222657	1
France	250	1	garnier.fr	4	2016	mobile	247507	1
France	250	1	garnier.fr	4	2017	mobile	216369	1
France	250	1	garnier.fr	5	2015	mobile	137669	1
France	250	1	garnier.fr	5	2016	mobile	230202	1
France	250	1	garnier.fr	5	2017	mobile	349685	1
France	250	1	garnier.fr	6	2015	mobile	217657	1
France	250	1	garnier.fr	6	2016	mobile	244272	1
France	250	1	garnier.fr	7	2015	mobile	304847	1
France	250	1	garnier.fr	7	2016	mobile	226658	1
France	250	1	garnier.fr	8	2015	mobile	224044	1
France	250	1	garnier.fr	8	2016	mobile	208746	1
France	250	1	garnier.fr	9	2015	mobile	363634	1
France	250	1	garnier.fr	9	2016	mobile	179603	1
France	250	1	garnier.fr	10	2015	mobile	345966	1
France	250	1	garnier.fr	10	2016	mobile	139160	1
France	250	1	garnier.fr	11	2015	mobile	226607	1
France	250	1	garnier.fr	11	2016	mobile	174929	1
France	250	1	garnier.fr	12	2015	mobile	167883	1
France	250	1	garnier.fr	12	2016	mobile	190889	1
France	250	1	get-the-look.fr	1	2017	mobile	97186	0
France	250	1	get-the-look.fr	2	2017	mobile	134458	1
France	250	1	get-the-look.fr	3	2017	mobile	148140	1
France	250	1	get-the-look.fr	4	2017	mobile	85615	0
France	250	1	get-the-look.fr	5	2017	mobile	89032	0
France	250	1	kiehls.fr	1	2017	mobile	58826	0
France	250	1	kiehls.fr	2	2017	mobile	100176	1
France	250	1	kiehls.fr	3	2017	mobile	58955	0
France	250	1	kiehls.fr	4	2017	mobile	66216	0
France	250	1	kiehls.fr	5	2015	mobile	36037	0
France	250	1	kiehls.fr	5	2017	mobile	70375	0
France	250	1	kiehls.fr	6	2015	mobile	35358	0
France	250	1	kiehls.fr	7	2015	mobile	31707	0
France	250	1	kiehls.fr	8	2015	mobile	75921	0
France	250	1	kiehls.fr	9	2015	mobile	58878	0
France	250	1	kiehls.fr	10	2015	mobile	45441	0
France	250	1	kiehls.fr	11	2015	mobile	68843	0
France	250	1	kiehls.fr	12	2015	mobile	121855	1
France	250	1	lancome.fr	1	2017	mobile	145403	1
France	250	1	lancome.fr	2	2017	mobile	244348	1
France	250	1	lancome.fr	3	2017	mobile	192557	1
France	250	1	lancome.fr	4	2017	mobile	125140	1
France	250	1	lancome.fr	5	2017	mobile	133680	1
