ga_learningset.site	ga_learningset.country	ga_learningset.pageviewmobile	ga_learningset.pageviewonline	ga_learningset.uniqmobile	ga_learningset.uniqonline	ga_learningset.visitsmobile	ga_learningset.visitsonline	ga_learningset.est_visits_mobile	ga_learningset.est_visits_desktop	ga_learningset.month	ga_learningset.year
196.ru	643	13082	13759	2900	4323	3242	4789	6966.833513	9244.614178	6	17
196flavors.com	643	169	277	119	149	132	162	146.9887746	0	6	17
1c-programmer-blog.ru	643	1053	18606	679	13001	769	14690	27827.23263	0	4	17
1c-programmer-blog.ru	643	921	18942	607	13276	696	15080	31046.77592	22421.03556	5	17
1c-wiseadvice.ru	643	13997	43813	6581	19186	6777	19941	14977.41712	13305.47634	4	17
1c-wiseadvice.ru	643	15500	63824	7123	27630	7310	28116	14007.58684	13521.06552	5	17
1c-wiseadvice.ru	643	14203	38378	6980	16975	7228	17526	14625.65486	15284.2728	6	17
1cashflow.ru	643	15715	27945	12200	19005	13063	20354	18237.61509	34077.64776	4	17
1cashflow.ru	643	8943	26505	6648	18240	6920	18956	20340.94934	27582.76834	5	17
1cashflow.ru	643	8245	23445	5921	16132	6166	16832	17890.76525	25540.23287	6	17
1cbit.ru	643	96524	387870	44827	136105	53822	158426	316405.7337	269011.2472	4	17
1cbit.ru	643	77287	372321	34638	121217	42180	150030	288028.7929	158879.9976	5	17
1cbit.ru	643	72320	384938	28609	121818	34645	152458	312492.6613	114969.4361	6	17
1chef.ru	643	5723	10388	2547	4205	2742	4554	6882.860593	9771.818761	4	17
1chef.ru	643	5484	9563	2302	3987	2509	4305	7107.974482	1872.723814	5	17
1chef.ru	643	4920	7510	2166	2910	2308	3112	4894.67715	9250.087822	6	17
1click.ge	643	116	40	61	20	68	20	183.4473362	34774.18161	5	17
1click.ge	643	44	42	22	15	26	15	330.5640827	23712.66275	6	17
1cloud.ru	643	11816	221563	3789	31534	4609	45227	88739.99625	21779.11738	4	17
1cloud.ru	643	12843	235372	4742	37028	5644	53005	96408.21033	24915.12971	5	17
1cloud.ru	643	9907	219233	4102	33311	4782	49341	102612.4708	0	6	17
1cont.ru	643	8092	99842	2977	28576	3304	36927	22305.61821	5662.427978	4	17
1cont.ru	643	17883	174030	5472	40789	5967	52542	32051.21319	14104.80788	5	17
1cont.ru	643	20851	212817	6250	49212	6927	67844	38999.34162	38409.04362	6	17
1cult.ru	643	4318	201387	1152	26091	1326	33884	17317.49816	10980.00867	4	17
1cult.ru	643	3553	175274	1154	24945	1277	33347	18657.53365	464.2957557	5	17
1day1step.ru	643	29833	88278	11498	16905	12463	19756	44728.21319	44197.79178	4	17
1day1step.ru	643	27838	89097	11204	16449	12143	19255	44369.19342	32223.59085	5	17
1day1step.ru	643	18556	76658	5851	12508	6576	15224	40197.24672	6527.982139	6	17
1dedic.ru	643	1483	9216	841	4316	952	4912	16677.19371	2880.011317	4	17
1dedic.ru	643	1204	8074	709	3806	787	4322	15803.69337	3869.287414	5	17
1elpu.ru	643	11517	166444	3761	25925	4289	33614	11865.6352	16857.84309	4	17
1elpu.ru	643	9968	174735	3593	29087	4018	37997	14492.17985	0	6	17
1fd.ru	643	28211	426092	8130	71872	9340	93142	49295.52229	570.5325831	4	17
1fd.ru	643	22590	410988	6362	64512	7336	85809	41190.5573	29010.5455	5	17
1fd.ru	643	32035	433889	8280	76989	13289	99313	54608.32792	47611.94603	6	17
1fin.biz	643	438	684	303	536	317	544	701.1649387	6674.481253	6	17
1gzakaz.ru	643	9137	570626	1961	58643	2384	90120	25391.26073	22386.57651	4	17
1gzakaz.ru	643	7975	526159	1640	54329	1929	84537	23771.81443	0	5	17
1gzakaz.ru	643	15253	590280	3548	67925	4213	101996	36766.76908	28594.72955	6	17
1in.am	643	976214	218291	371036	66648	553000	101889	55630.12291	147029.0536	4	17
1in.am	643	1008093	223435	377826	56731	564185	88729	57431.85663	225903.4091	5	17
1in.am	643	842505	194603	322192	50678	474126	79128	52554.35709	199556.616	6	17
1innews.com	643	56317	32204	14682	8157	18532	11106	4701.092879	37761.74854	4	17
1innews.com	643	35433	22172	12297	7242	14529	9383	6360.889897	3728.477103	5	17
1innews.com	643	16211	9305	4486	3073	5421	3795	1935.506666	13881.55546	6	17
1jur.ru	643	70868	1391587	19012	159249	23255	250560	117283.9549	44310.82582	4	17
1jur.ru	643	59188	1285857	16269	152418	19820	240416	115873.0266	39838.65278	5	17
1jur.ru	643	60345	1360656	15725	152537	19164	243372	121119.9135	38485.38256	6	17
1kadry.ru	643	93711	2260781	23704	296458	27834	423858	147932.6565	55604.22959	4	17
1kadry.ru	643	104797	2275679	29135	328560	34190	474227	186707.939	68761.8292	5	17
1kadry.ru	643	107404	2498940	30262	363797	34883	516269	208854.3052	88173.67554	6	17
1klpu.ru	643	17078	342464	3217	28722	3806	40758	14746.59885	14454.36927	4	17
1klpu.ru	643	12881	256791	3209	27190	3751	38700	13564.86515	3402.678298	5	17
1klpu.ru	643	13634	281342	3385	28721	4046	41059	14782.78947	29057.37791	6	17
1landscapedesign.ru	643	38944	68113	29889	57544	32586	59968	62233.72832	41725.22536	4	17
1landscapedesign.ru	643	55003	95386	44365	80906	46624	84121	81277.59475	46865.71383	5	17
1landscapedesign.ru	643	44959	72678	36489	62163	38542	64401	64475.59935	54407.65877	6	17
1lodka.ru	643	136356	308376	16091	30805	18766	36269	42822.63878	35525.18306	4	17
1lodka.ru	643	104112	189076	12600	19255	14664	22619	28624.68649	31396.02052	5	17
