monthlysourcecountrydis.site	monthlysourcecountrydis.country	monthlysourcecountrydis.source	monthlysourcecountrydis.visits	monthlysourcecountrydis.monthly_uniques	monthlysourcecountrydis.sum_dau	monthlysourcecountrydis.year	monthlysourcecountrydis.month
apply.swissquote.com	682	1822	2	1	2	17	1
fr.swissquote.com	756	1240	14	8	13	17	1
en.swissquote.com	710	1240	2	1	2	17	2
files.swissquote.com	792	1822	1	1	1	17	2
fr.swissquote.com	756	13017	2	1	2	17	2
ru.swissquote.com	380	13017	10	1	7	17	2
ar.swissquote.com	458	13017	1	1	1	17	2
fr.swissquote.com	756	1587	4	2	3	17	2
cn.swissquote.com	392	1586	1	1	1	17	2
cn.swissquote.com	756	1560	1	1	1	17	2
en.swissquote.com	158	13017	1	1	1	17	2
en.swissquote.com	643	1586	8	8	8	17	2
ar.swissquote.com	368	1240	1	1	1	17	3
ru.swissquote.com	643	1243	1	1	1	17	3
ar.swissquote.com	682	1822	1	1	1	17	3
ar.swissquote.com	784	1586	1	1	1	17	4
en.swissquote.com	804	1560	3	2	2	17	4
fr.swissquote.com	756	1586	1	1	1	17	4
apply.swissquote.com	158	123017	1	1	1	17	4
apply.swissquote.com	643	1841	4	2	3	17	1
de.swissquote.com	756	1940	3	3	3	17	1
en.swissquote.com	756	1577	1	1	1	17	1
en.swissquote.com	764	123017	1	1	1	17	1
files.swissquote.com	784	123017	11	1	10	17	1
fr.swissquote.com	250	12	1	1	1	17	1
livechat2.swissquote.com	504	1587	1	1	1	17	1
advancedtrader.swissquote.com	156	1661	1	1	1	17	1
apply.swissquote.com	818	1587	1	1	1	17	2
en.swissquote.com	36	1560	1	1	1	17	2
fr.swissquote.com	756	12	2	2	2	17	2
en.swissquote.com	818	1586	1	1	1	17	2
es.swissquote.com	724	1587	3	1	2	17	2
mailing.swissquote.com	756	1560	1	1	1	17	2
ru.swissquote.com	643	1240	8	6	7	17	2
en.swissquote.com	756	1550	1	1	1	17	2
files.swissquote.com	276	1587	1	1	1	17	2
ar.swissquote.com	682	1240	4	2	4	17	2
en.swissquote.com	246	1244	3	1	2	17	2
en.swissquote.com	756	12	25	1	10	17	2
en.swissquote.com	756	1560	57	5	20	17	2
en.swissquote.com	792	1586	6	2	3	17	2
en.swissquote.com	804	1240	3	1	3	17	2
tw.swissquote.com	158	1240	2	2	2	17	2
en.swissquote.com	388	1587	1	1	1	17	2
ar.swissquote.com	682	13017	1	1	1	17	2
apply.swissquote.com	188	1940	2	1	1	17	1
apply.swissquote.com	300	123017	1	1	1	17	1
demo-advancedtrader.swissquote.com	156	1661	1	1	1	17	1
en.swissquote.com	818	1587	3	3	3	17	1
en.swissquote.com	840	1240	1	1	1	17	1
livechat2.swissquote.com	380	1940	1	1	1	17	1
en.swissquote.com	417	13017	1	1	1	17	1
en.swissquote.com	804	1587	2	2	2	17	1
en.swissquote.com	826	1240	1	1	1	17	1
ru.swissquote.com	643	1814	37	18	28	17	1
en.swissquote.com	376	1560	7	5	7	17	1
en.swissquote.com	84011	13017	1	1	1	17	1
en.swissquote.com	84022	1576	1	1	1	17	1
en.swissquote.com	84031	1940	4	1	4	17	2
en.swissquote.com	8404	123017	1	1	1	17	2
en.swissquote.com	158	1808	1	1	1	17	3
es.swissquote.com	600	1586	1	1	1	17	3
files.swissquote.com	826	1940	5	1	5	17	3
en.swissquote.com	703	1586	1	1	1	17	3
de.swissquote.com	756	1587	1	1	1	17	3
ru.swissquote.com	804	1240	1	1	1	17	3
en.swissquote.com	784	1560	1	1	1	17	4
livechat2.swissquote.com	380	1240	2	2	2	17	4
ru.swissquote.com	398	13017	1	1	1	17	4
de.swissquote.com	40	1940	1	1	1	17	4
it.swissquote.com	380	1586	1	1	1	17	4
apply.swissquote.com	682	1550	1	1	1	17	1
de.swissquote.com	276	1201	1	1	1	17	1
en.swissquote.com	36	1586	3	1	1	17	1
en.swissquote.com	276	13017	1	1	1	17	1
en.swissquote.com	756	1847	1	1	1	17	1
en.swissquote.com	804	1240	6	4	4	17	1
fr.swissquote.com	250	13017	1	1	1	17	1
tw.swissquote.com	158	1240	1	1	1	17	1
ar.swissquote.com	682	1940	1	1	1	17	1
en.swissquote.com	417	1244	3	1	3	17	1
files.swissquote.com	756	1241	1	1	1	17	1
en.swissquote.com	84031	1240	3	1	2	17	1
es.swissquote.com	8406	1243	1	1	1	17	1
files.swissquote.com	84023	1586	5	1	5	17	1
ru.swissquote.com	84023	1841	1	1	1	17	1
ar.swissquote.com	84025	1560	1	1	1	17	1
cn.swissquote.com	344	1560	1	1	1	17	2
en.swissquote.com	504	123017	1	1	1	17	2
livechat2.swissquote.com	380	1576	1	1	1	17	2
it.swissquote.com	380	13017	10	2	8	17	2
apply.swissquote.com	76	1586	1	1	1	17	2
apply.swissquote.com	276	1586	1	1	1	17	2
en.swissquote.com	756	1808	3	1	1	17	2
en.swissquote.com	784	1587	2	2	2	17	2
fr.swissquote.com	12	1586	2	1	2	17	2
livechat2.swissquote.com	756	13020	1	1	1	17	2
de.swissquote.com	702	1242	1	1	1	17	2
en.swissquote.com	250	1576	1	1	1	17	2
files.swissquote.com	724	1578	9	1	9	17	2
it.swissquote.com	380	1576	3	2	3	17	2
en.swissquote.com	804	1240	1	1	1	17	3
tw.swissquote.com	158	1240	2	2	2	17	3
en.swissquote.com	392	1808	10	1	8	17	3
en.swissquote.com	756	1576	6	5	6	17	3
forms.swissquote.com	710	1240	1	1	1	17	3
es.swissquote.com	170	1586	1	1	1	17	3
apply.swissquote.com	8405	1240	1	1	1	17	3
ar.swissquote.com	84012	1587	1	1	1	17	3
