ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.source	ga_analysis.weight	ga_analysis.year	ga_analysis.month	ga_analysis.panel_mobile_raw_visits	ga_analysis.panel_mobile_est_visits	ga_analysis.panel_desktop_raw_visits	ga_analysis.panel_desktop_est_visits
201701	filmovita.com	208	1606.0	3699.0	544.0	1257.0	577.0	1364.0	ga	0.3	17	1	1.0	36468.02196856191	11.0	1494.614175466471
201701	forvo.com	208	13892.0	34518.0	5296.0	7242.0	5768.0	8007.0	ga	0.3	17	1	1.0	70025.32874565704	19.0	2403.7549062473104
201702	golfmkv.com	208	926.0	851.0	611.0	444.0	721.0	546.0	qc	0.5	17	2	0.0	17656.814641321645	5.0	790.1345267232067
201701	italianwinemerchants.com	208	227.0	208.0	137.0	142.0	152.0	156.0	qc	0.5	17	1	0.0	0.0	1.0	168.62238917636324
201704	ksb.com	208	335.0	2515.0	109.0	596.0	120.0	757.0	ga	0.3	17	4	0.0	0.0	13.2	1950.4561175980175
201701	ligainsider.de	208	4765.0	11697.0	1003.0	1239.0	1381.0	2458.0	ga	0.3	17	1	0.0	0.0	24.185714285714287	2445.521386762011
201703	looksharp.com	208	736.0	4221.0	218.0	1119.0	229.0	1246.0	ga	0.3	17	3	1.0	51688.005748956115	11.6	1743.8540870291677
201703	lulus.com	208	34868.0	57491.0	4115.0	5070.0	5026.0	6129.0	ga	0.3	17	3	1.0	44523.74594595452	22.2	3071.9632288378393
201704	mainssstream.com	208	66192.0	12931.0	5034.0	882.0	5197.0	903.0	ga	0.3	17	4	1.0	75230.22737012897	4.0	663.0609176406838
201702	missbloom.gr	208	1768.0	1878.0	287.0	209.0	428.0	341.0	ga	0.3	17	2	3.0	103493.90300736629	2.0	291.6508449839617
201704	moelven.com	208	6654.0	12815.0	2574.0	3513.0	2855.0	3983.0	ga	0.3	17	4	0.0	0.0	9.0	1652.4649263910233
201701	playingfor90.com	208	1114.0	650.0	639.0	422.0	707.0	432.0	ga	0.3	17	1	1.0	47256.242466507676	1.0	174.02588276805463
201705	skipandgiggle.com	208	24786.0	4617.0	4496.0	742.0	4653.0	760.0	ga	0.3	17	5	1.0	165119.5541841921	3.0	401.91129482930234
201702	thepetitionsite.com	208	24421.0	19795.0	8901.0	6606.0	10246.0	7536.0	ga	0.3	17	2	0.0	0.0	43.48571428571429	7008.949605520397
201703	ti.com	208	3806.0	41785.0	1997.0	15168.0	2427.0	20129.0	ga	0.3	17	3	0.0	0.0	162.55714285714282	24036.542141534508
201702	tinnitusterminator-program.com	208	520.0	724.0	328.0	443.0	337.0	457.0	ga	0.3	17	2	1.0	25854.806270325214	3.0	371.87172233001013
201705	tsn.ua	208	59058.0	33537.0	13825.0	5810.0	20370.0	10185.0	ga	0.3	17	5	0.0	5299.367533486227	81.5090909090909	10779.672582165118
201705	ummah.com	208	8502.0	36181.0	1372.0	1498.0	1742.0	2059.0	ga	0.3	17	5	2.0	68910.86169043947	25.6	4030.7025201695365
201702	vaillant.dk	208	7678.0	11859.0	2635.0	2678.0	2994.0	3026.0	ga	0.3	17	2	0.0	0.0	7.6	1131.3065226526096
