ga_analysis.dt	ga_analysis.site	ga_analysis.country	ga_analysis.pageviewmobile	ga_analysis.pageviewonline	ga_analysis.uniqmobile	ga_analysis.uniqonline	ga_analysis.visitsmobile	ga_analysis.visitsonline	ga_analysis.year	ga_analysis.month	ga_analysis.panel_raw_visits	ga_analysis.panel_est_visits	ga_analysis.panel_page_views
201612	magiccrate.in	356	1033526.0	228080.0	593446.0	109754.0	659702.0	123183.0	16	12	900.0	107247.22922315828	151222.07386831028
201609	mapsofindia.com	356	7055971.0	7060822.0	3836166.0	3217122.0	4199678.0	3487940.0	16	9	22056.0	2858814.697414531	4088142.4169963286
201602	mercadolivre.com.br	356	0.0	0.0	348458.0	16109.0	513669.0	18993.0	16	2	0.0	43.334617679379335	43.334617679379335
201608	merisexstory.com	356	1570690.0	296877.0	270172.0	50525.0	303917.0	55621.0	16	8	457.0	43161.05856375941	159007.03801330496
201602	metro.co.uk	356	0.0	0.0	425453.0	245705.0	501223.0	269018.0	16	2	3317.0	444702.33251178486	682779.4801734806
201607	minhavida.com.br	356	180978.0	10567.0	109996.0	7436.0	129108.0	8154.0	16	7	7.0	1119.3022907669088	1119.3022907669088
201701	motoroctane.com	356	2081544.0	1504212.0	595101.0	307941.0	703056.0	362496.0	17	1	964.0	191280.02849989248	279396.26356924884
201611	moviepilot.com	356	713635.0	234817.0	390742.0	95612.0	441499.0	106326.0	16	11	869.0	199782.16707990697	231225.5426012945
201612	muthimar.com	356	730972.0	275310.0	423173.0	142676.0	447823.0	153675.0	16	12	670.0	67938.97518366377	96897.49521494353
201608	myfabzone.com	356	836678.0	11554.0	420206.0	6197.0	506095.0	6407.0	16	8	596.0	53618.27613269479	131707.05503271476
201604	myuniverse.co.in	356	0.0	0.0	344331.0	457465.0	377065.0	550217.0	16	4	1637.0	251230.0909906801	402622.16722978425
201701	newincept.com	356	171841.0	84087.0	107222.0	45175.0	116511.0	48108.0	17	1	333.0	41767.748194536136	54260.09048696495
201612	omtexclasses.com	356	404817.0	189712.0	84808.0	35757.0	215376.0	99862.0	16	12	797.0	83639.32450066163	228049.2189691657
201608	overstock.com	356	538066.0	760585.0	130387.0	106761.0	142694.0	143782.0	16	8	607.0	104507.60215192825	239650.2108021426
201703	perniaspopupshop.com	356	603282.0	337758.0	201701.0	48476.0	239463.0	60763.0	17	3	349.0	44012.4052744565	125600.6129251734
201601	qmaths.in	356	617370.0	268028.0	183277.0	120654.0	233182.0	142431.0	16	1	569.0	130190.02774957122	230058.10495133192
201603	radaronline.com	356	187448.0	80534.0	126831.0	48615.0	132191.0	50741.0	16	3	736.0	97845.08978040938	202199.0483126013
201701	recruit.net	356	763712.0	552968.0	253847.0	167514.0	286873.0	189938.0	17	1	413.0	51611.3965551962	136999.11422737077
201605	recruit.net	356	575503.0	684568.0	193594.0	218380.0	219441.0	250067.0	16	5	633.0	107262.3154128287	341052.82117816166
201608	recruitmentinboxx.com	356	1031907.0	855216.0	554823.0	387616.0	601921.0	411885.0	16	8	2606.0	378163.85416164534	600310.854029853
201604	redpearl.in	356	0.0	0.0	334717.0	401956.0	363340.0	430858.0	16	4	2074.0	389472.9957861463	488110.46236596437
201611	religarehealthinsurance.com	356	282545.0	684449.0	135871.0	161430.0	168634.0	231497.0	16	11	360.0	59821.85583229109	121493.18580244189
201611	saavn.com	356	1.68756E7	4846925.0	2498203.0	868363.0	2719167.0	982403.0	16	11	19097.0	3405031.732990057	5644143.76129162
201608	savitabhabhifree.com	356	269578.0	117146.0	131118.0	52685.0	137488.0	55028.0	16	8	502.0	77255.8752412012	550891.7474001405
201604	secondshaadi.com	356	0.0	0.0	191477.0	116521.0	317532.0	176936.0	16	4	1014.0	140015.94868385055	571950.6277163854
201607	shoppirate.in	356	329123.0	184364.0	122420.0	75568.0	140383.0	82101.0	16	7	726.0	106954.62195847605	308047.5310975315
201603	shutterstock.com	356	0.0	0.0	1420935.0	1788492.0	1572205.0	2492703.0	16	3	9046.0	2028771.9845469233	4265116.870457989
201702	sportzwiki.com	356	1.0116692E7	1422298.0	5098866.0	634440.0	6281885.0	775155.0	17	2	3445.0	513015.6823021777	630999.3986784994
201606	sportzwiki.com	356	1.0698574E7	3209558.0	2991952.0	763392.0	3731534.0	948085.0	16	6	5282.0	744187.5422161842	929965.9552476767
201603	stylesatlife.com	356	0.0	0.0	275128.0	127276.0	293422.0	134743.0	16	3	2613.0	262064.5294679215	428096.7702783483
201702	sugarandcotton.com	356	261819.0	64247.0	106778.0	19968.0	111446.0	21615.0	17	2	128.0	23248.23746557969	46857.342219676626
201703	teachmatters.in	356	299183.0	111671.0	110389.0	42014.0	126843.0	47727.0	17	3	456.0	49824.09696381885	87156.67494372015
201607	teachmatters.in	356	290073.0	197463.0	89764.0	61933.0	106647.0	72134.0	16	7	563.0	59920.21926624604	137744.31514167946
201602	technofizi.com	356	0.0	0.0	234161.0	196252.0	252096.0	210149.0	16	2	2822.0	314839.79726534535	377151.8028097391
201612	thehindu.com	356	2.281967E7	2.0036298E7	1.2814276E7	6383980.0	1.4832448E7	8284272.0	16	12	28750.0	7896036.088742291	1.1241456172687275E7
