site	country	platform	rawvisits	estimatedvisits	year	month
business.panasonic.com	498	desktop	3	155.4309716	16	6
business.panasonic.com	818	desktop	1	118.4295292	16	6
business.panasonic.com	8402	desktop	1	190.6711994	16	6
business.panasonic.com	84018	desktop	4	946.6077328	16	6
business.panasonic.com	84050	desktop	5.6	629.5594397	16	6
business.panasonic.com	275	desktop	1	97.20586056	16	6
business.panasonic.com	84019	desktop	8	1270.023658	16	6
business.panasonic.com	84051	desktop	20	2998.661927	16	6
business.panasonic.com	276	desktop	75.2	2854.880785	16	6
business.panasonic.com	372	desktop	3	613.7080419	16	6
business.panasonic.com	724	desktop	21.6	3403.448375	16	6
business.panasonic.com	756	desktop	22.2	2777.00093	16	6
business.panasonic.com	788	desktop	1	168.052466	16	6
business.panasonic.com	8404	desktop	28.21818182	4580.294119	16	6
business.panasonic.com	84020	desktop	5	941.2495789	16	6
business.panasonic.com	533	desktop	1	132.2107869	16	6
business.panasonic.com	8405	desktop	1	331.781824	16	6
business.panasonic.com	84021	desktop	6	1445.559623	16	6
business.panasonic.com	84053	desktop	32.5	3928.796062	16	6
business.panasonic.com	214	desktop	1	169.6379975	16	6
business.panasonic.com	246	desktop	3	141.3384186	16	6
business.panasonic.com	438	desktop	1	97.22876702	16	6
business.panasonic.com	566	desktop	1.6	272.8226006	16	6
business.panasonic.com	630	desktop	2	308.13117	16	6
business.panasonic.com	8406	desktop	144.1181818	17473.87657	16	6
business.panasonic.com	84022	desktop	5	1721.934484	16	6
business.panasonic.com	84054	desktop	2	708.751154	16	6
business.panasonic.com	84023	desktop	5	963.5717995	16	6
business.panasonic.com	84055	desktop	14	2138.512512	16	6
business.panasonic.com	24	desktop	1	139.8897947	16	6
business.panasonic.com	56	desktop	10	1290.432071	16	6
business.panasonic.com	152	desktop	2	305.3418752	16	6
business.panasonic.com	344	desktop	9	734.7301688	16	6
business.panasonic.com	376	desktop	7.6	783.7553045	16	6
business.panasonic.com	504	desktop	1	114.7733828	16	6
business.panasonic.com	792	desktop	11.6	3787.783609	16	6
business.panasonic.com	8408	desktop	9	1379.86214	16	6
business.panasonic.com	84024	desktop	16.2	2302.302116	16	6
business.panasonic.com	84056	desktop	1	313.7759262	16	6
business.panasonic.com	8409	desktop	23.8	3912.253455	16	6
business.panasonic.com	84025	desktop	20.41818182	2624.807049	16	6
business.panasonic.com	250	desktop	19.6	1949.542617	16	6
business.panasonic.com	410	desktop	6	239.2812346	16	6
