apps_usage_source.app	apps_usage_source.source	apps_usage_source.country	apps_usage_source.devices	apps_usage_source.users	apps_usage_source.dailyinstalls	apps_usage_source.dailyuninstalls	apps_usage_source.dailyupdates	apps_usage_source.sessions	apps_usage_source.usagetime	apps_usage_source.sessionsquared	apps_usage_source.realsessionsquared	apps_usage_source.usagesquared	apps_usage_source.isinstalled	apps_usage_source.isuninstalled	apps_usage_source.qualified_active_users	apps_usage_source.year	apps_usage_source.month	apps_usage_source.day
com.kannadamatrimony	960	356	2.0	1.0	0.0	0.0	0.0	5.0	1836.096	16.0	25.0	3371248.521216	0.0	0.0	2.0	16	2	27
com.marathimatrimony	966	356	37.0	8.0	0.0	0.0	0.0	31.0	6815.1990000000005	365.0	419.0	2.9296794705391012E7	0.0	0.0	20.0	16	2	27
com.kannadamatrimony	990	356	11.0	2.0	0.0	0.0	0.0	2.0	90.017	0.0	2.0	4101.560149	0.0	0.0	8.0	16	2	26
com.bengalimatrimony	966	356	17.0	2.0	0.0	0.0	0.0	7.0	2338.127	25.0	37.0	4465911.400969	0.0	0.0	6.0	16	2	26
com.bengalimatrimony	990	356	19.0	6.0	0.0	0.0	0.0	16.0	1804.709	32.0	58.0	838087.3512169999	0.0	0.0	14.0	16	2	26
com.marathimatrimony	5019	356	39.0	6.0	0.0	0.0	0.0	16.0	4108.062	42.0	68.0	1.2819597219597999E7	0.0	0.0	20.0	16	2	26
com.marathimatrimony	905	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	26
com.marathimatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	26
com.marathimatrimony	981	356	5.0	1.0	1.0	0.0	0.0	7.0	1852.173	36.0	49.0	3430544.821929	1.0	0.0	3.0	16	2	26
com.kannadamatrimony	5048	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	26
com.marathimatrimony	5084	356	2.0	1.0	0.0	0.0	0.0	3.0	110.245	4.0	9.0	12153.960025	0.0	0.0	1.0	16	2	27
com.bengalimatrimony	5084	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	20
com.kannadamatrimony	966	356	24.0	5.0	0.0	0.0	0.0	12.0	5180.7970000000005	49.0	68.0	1.9992192445707005E7	0.0	0.0	17.0	16	2	27
com.bengalimatrimony	5084	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	26
com.marathimatrimony	990	356	17.0	5.0	0.0	0.0	0.0	5.0	305.139	0.0	5.0	18723.518611	0.0	0.0	12.0	16	2	26
com.marathimatrimony	951	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	27
com.bengalimatrimony	951	356	1.0	1.0	1.0	0.0	0.0	1.0	1200.121	0.0	1.0	1440290.4146410003	1.0	0.0	1.0	16	2	27
com.kannadamatrimony	990	356	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	27
com.marathimatrimony	5084	356	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16	2	26
com.marathimatrimony	5003	356	30.0	7.0	2.0	0.0	0.0	15.0	3397.7870000000003	28.0	51.0	3452805.1308089998	2.0	0.0	16.0	16	2	27
com.kannadamatrimony	5048	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	27
com.marathimatrimony	961	356	6.0	1.0	0.0	0.0	0.0	1.0	30.001	0.0	1.0	900.060001	0.0	0.0	5.0	16	2	27
com.marathimatrimony	5089	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	26
com.marathimatrimony	952	356	210.0	54.0	10.0	3.0	0.0	199.0	38572.35999999998	1089.0	1433.0	7.0047033980768E7	9.0	3.0	147.0	16	2	26
com.marathimatrimony	5067	356	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	27
com.marathimatrimony	981	356	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	27
com.marathimatrimony	886	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	18
com.marathimatrimony	990	356	18.0	4.0	1.0	0.0	0.0	10.0	1160.098	26.0	42.0	732663.9669799999	1.0	0.0	11.0	16	2	27
com.bengalimatrimony	655	356	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	16	2	27
com.marathimatrimony	5089	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	27
com.marathimatrimony	952	356	221.0	60.0	11.0	9.0	0.0	229.0	40026.27499999999	1183.0	1581.0	6.158741823311301E7	10.0	9.0	153.0	16	2	27
com.kannadamatrimony	960	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16	2	18
com.marathimatrimony	966	356	32.0	7.0	0.0	0.0	0.0	23.0	5647.193000000001	70.0	109.0	7981233.750370999	0.0	0.0	17.0	16	2	18
com.bengalimatrimony	5010	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	28
com.kannadamatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	28
com.kannadamatrimony	981	356	2.0	1.0	0.0	0.0	0.0	1.0	20.0	0.0	1.0	400.0	0.0	0.0	1.0	16	2	28
com.bengalimatrimony	5010	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	18
com.kannadamatrimony	5067	356	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	2	18
com.kannadamatrimony	981	356	2.0	1.0	0.0	0.0	0.0	2.0	399.352	1.0	4.0	159482.019904	0.0	0.0	1.0	16	2	18
com.bengalimatrimony	5019	356	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	16	2	18
