app	devices	source	users	sessions	usagetime	qualified_active_users	year	month	day
com.venmo	5963	5119	58	89	8645.405	2269	17	4	21
com.venmo	1	652	0	0	0	0	17	4	21
com.venmo	66	877	2	2	260.015	46	17	4	21
com.venmo	11	904	1	1	66.371	8	17	4	21
com.venmo	206	955	9	15	789.616	81	17	4	21
com.venmo	46	5197	1	1	15.011	18	17	4	20
com.venmo	511	5482	33	50	9195.717	292	17	4	20
com.venmo	2	5415	1	6	140.144	1	17	4	19
com.venmo	1	870	0	0	0	1	17	4	19
com.venmo	63	966	2	5	798.24	29	17	4	19
com.venmo	1	653	0	0	0	0	17	4	19
com.venmo	10	878	1	1	120.005	6	17	4	19
com.venmo	2	905	0	0	0	0	17	4	19
com.venmo	533	960	19	24	2099.942	314	17	4	19
com.venmo	41	951	0	0	0	5	17	4	21
com.venmo	43	5197	0	0	0	16	17	4	21
com.venmo	510	5482	37	54	10188.668	291	17	4	21
com.venmo	48	951	0	0	0	6	17	4	20
com.venmo	5955	5119	53	81	5246.457	2317	17	4	20
com.venmo	1	652	0	0	0	0	17	4	20
com.venmo	73	877	3	3	170.003	45	17	4	20
com.venmo	11	904	1	2	100.306	5	17	4	20
com.venmo	219	955	8	12	526.065	98	17	4	20
com.venmo	1513	5220	52	93	16912.581	689	17	4	19
com.venmo	10	5067	0	0	0	2	17	4	15
com.venmo	73	981	2	2	29.578	33	17	4	15
com.venmo	75	5497	2	4	641.047	29	17	4	19
com.venmo	20	5059	1	1	20.04	15	17	4	20
com.venmo	1	903	0	0	0	0	17	4	19
com.venmo	9413	5019	122	163	56586.363	2248	17	4	19
com.venmo	4	5130	0	0	0	1	17	4	19
com.venmo	12314	5304	159	223	74834.382	3414	17	4	19
com.venmo	4	654	0	0	0	3	17	4	19
com.venmo	123	957	5	11	4501.275	65	17	4	19
com.venmo	36	990	0	0	0	20	17	4	19
com.venmo	2	864	0	0	0	1	17	4	19
com.venmo	25	5072	1	1	94.455	22	17	4	19
com.venmo	1	650	0	0	0	0	17	4	19
com.venmo	16	902	0	0	0	4	17	4	19
com.venmo	29	5048	0	0	0	7	17	4	19
com.venmo	4	5126	0	0	0	2	17	4	19
com.venmo	2	5177	0	0	0	1	17	4	19
com.venmo	22	5084	0	0	0	10	17	4	19
com.venmo	6	5129	0	0	0	4	17	4	19
com.venmo	52	5240	2	9	3868.905	28	17	4	19
com.venmo	1	653	0	0	0	0	17	4	20
com.venmo	14	878	0	0	0	10	17	4	20
com.venmo	3	905	0	0	0	1	17	4	20
com.venmo	1503	5220	52	90	12621.327	673	17	4	20
com.venmo	22	5059	1	2	140.004	21	17	4	15
com.venmo	17	5120	0	0	0	8	17	4	19
com.venmo	1	864	0	0	0	1	17	4	20
com.venmo	3	864	0	0	0	1	17	4	21
com.venmo	29	5072	0	0	0	22	17	4	20
com.venmo	1	650	0	0	0	0	17	4	20
com.venmo	16	902	1	2	247.656	4	17	4	20
com.venmo	4	5401	0	0	0	2	17	4	19
com.venmo	4252	952	54	95	7831.101	535	17	4	19
com.venmo	46	5180	0	0	0	25	17	4	19
com.venmo	529	960	14	21	1032.073	306	17	4	20
com.venmo	4	654	1	1	20.007	2	17	4	21
com.venmo	114	957	4	6	490.905	58	17	4	21
com.venmo	35	990	1	1	201.885	19	17	4	21
com.venmo	2	5179	0	0	0	0	17	4	20
com.venmo	1	886	0	0	0	0	17	4	20
com.venmo	2	5415	0	0	0	0	17	4	20
com.venmo	63	966	5	8	584.804	29	17	4	20
com.venmo	29	5149	0	0	0	18	17	4	20
com.venmo	4	5477	0	0	0	2	17	4	19
com.venmo	18	5120	0	0	0	8	17	4	20
com.venmo	46	5180	0	0	0	23	17	4	20
com.venmo	1	5121	0	0	0	1	17	4	15
com.venmo	167	5424	0	0	0	31	17	4	15
com.venmo	3	5179	0	0	0	0	17	4	21
com.venmo	18	655	1	1	565.053	9	17	4	15
com.venmo	12	971	0	0	0	5	17	4	19
com.venmo	638	5087	13	17	4227.344	245	17	4	15
com.venmo	7	5125	0	0	0	7	17	4	17
com.venmo	5	883	0	0	0	5	17	4	17
com.venmo	320	961	3	4	238.956	119	17	4	17
com.venmo	28	5072	0	0	0	23	17	4	21
com.venmo	1	650	0	0	0	0	17	4	21
com.venmo	13	902	0	0	0	3	17	4	21
com.venmo	2	5179	0	0	0	0	17	4	19
com.venmo	1	886	0	0	0	1	17	4	19
com.venmo	55	5003	1	1	20	16	17	4	21
com.venmo	8	971	0	0	0	4	17	4	20
com.venmo	8	5125	1	1	110.001	7	17	4	15
com.venmo	5	883	0	0	0	5	17	4	15
com.venmo	325	961	7	17	1115.755	128	17	4	15
com.venmo	20	5120	0	0	0	9	17	4	21
com.venmo	49	5003	0	0	0	14	17	4	19
com.venmo	1453	5220	63	99	54016.887	639	17	4	21
com.venmo	3	5401	0	0	0	1	17	4	21
com.venmo	4191	952	50	82	5739.627	510	17	4	21
com.venmo	1	651	0	0	0	1	17	4	21
com.venmo	1	903	0	0	0	0	17	4	21
com.venmo	2	5401	0	0	0	1	17	4	20
com.venmo	4189	952	49	93	7450.516	521	17	4	20
com.venmo	2	5415	1	6	234.97	1	17	4	21
com.venmo	65	966	7	13	1020.229	33	17	4	21
com.venmo	12	878	1	2	250.013	8	17	4	21
com.venmo	2	905	0	0	0	1	17	4	21
com.venmo	30	5149	0	0	0	17	17	4	21
